code,product_name,shop_category_db,coverage_category,substance,family_slug,research_slug,variant,lexicon_profile_required,mapping_unique,status,reason
440,T4,ORALS,ORALS,T4,t4,,40mcg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
50AM,5-amino-1mq,PEPTIDES,ORALS,5-amino-1mq,5-amino-1mq,,50mg/vial x 10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
5AD,AOD9604,PEPTIDES,PEPTIDES,AOD9604,aod-9604,aod-9604,5mg/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
5AM,5-amino-1mq,PEPTIDES,ORALS,5-amino-1mq,5-amino-1mq,,5mg/vial x 10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
AA10,AA Water,RECONSTITUTION-WATER,HILFSSTOFFE,AA Water,aa-water,,10ml/vial x10vials,nein,ja,NON_LEXICON,"Rekonstitutionsflüssigkeit (BAC/AA Water), kein Wirkstoffprofil."
AD5,Adamax,PEPTIDES,PEPTIDES,Adamax,adamax,,5mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
AE1,ACE-031,PEPTIDES,PEPTIDES,ACE-031,ace-031,,1mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
AI10,AICAR,ORALS,ORALS,AICAR,aicar,,10mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
AMQ50,5-amino-1mq,ORALS,ORALS,5-amino-1mq,5-amino-1mq,,50mg x 25tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
AP2,Adipotide,PEPTIDES,PEPTIDES,Adipotide,adipotide,,2mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
AP5,Adipotide,PEPTIDES,PEPTIDES,Adipotide,adipotide,,5mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
AR100,Aicar,PEPTIDES,ORALS,AICAR,aicar,,100mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
AR50,Aicar,PEPTIDES,ORALS,AICAR,aicar,,50mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
AU100,AHK-CU,PEPTIDES,PEPTIDES,AHK-CU,ahk-cu,,100mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
B10F,TB-500 (FRAG),PEPTIDES,PEPTIDES,TB-500 (FRAG),tb-500-frag,,10mg/vial x 10vials,ja,nein,REVIEW_REQUIRED,Fragment label plus TB-500/TB4 mix; not mapped.
B1201,B12,ORALS,SONSTIGE,B12,b12,,10ml x 1mg/ml,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
B1210,B12,ORALS,SONSTIGE,B12,b12,,10ml x 10mg/ml,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
B157,BPC157,ORALS,PEPTIDES,BPC157,bpc-157,bpc-157,500mcg x 100tablets,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
B300,BLEND 300mg,INJECTABLES-OILS,BLENDS,BLEND 300mg,blend-opaque,,300mg,nein,nein,UNKNOWN,Shopbezeichnung ohne identifizierbaren Wirkstoff.
B375,BLEND 375mg,INJECTABLES-OILS,BLENDS,BLEND 300mg,blend-opaque,,375mg,nein,nein,UNKNOWN,Shopbezeichnung ohne identifizierbaren Wirkstoff.
B500,BLEND 500mg,INJECTABLES-OILS,BLENDS,BLEND 300mg,blend-opaque,,500mg,nein,nein,UNKNOWN,Shopbezeichnung ohne identifizierbaren Wirkstoff.
B70,COCK BOMBS,ORALS,SONSTIGE,COCK BOMBS,cock-bombs,,7mg x 100tablets,nein,nein,UNKNOWN,Shopbezeichnung ohne identifizierbaren Wirkstoff.
BA03,BAC Water,RECONSTITUTION-WATER,HILFSSTOFFE,BAC Water,bac-water,,3ml/vial x10vials,nein,ja,NON_LEXICON,"Rekonstitutionsflüssigkeit (BAC/AA Water), kein Wirkstoffprofil."
BA10,BAC Water,RECONSTITUTION-WATER,HILFSSTOFFE,BAC Water,bac-water,,10ml/vial x10vials,nein,ja,NON_LEXICON,"Rekonstitutionsflüssigkeit (BAC/AA Water), kein Wirkstoffprofil."
BA100,TEST BASE (NO Ester),INJECTABLES-OILS,OILS / INJECTABLES,TEST BASE (NO Ester),test-base,,100mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
BAM50,BAM15,ORALS,ORALS,BAM15,bam15,,50mg x 60capsule,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
BB10,BPC157 5mg+TB500 5mg Blend,PEPTIDES,BLENDS,BPC157 5mg+TB500 5mg Blend,bpc-tb500-blend,,10mg/vial x 10vials,ja,nein,REVIEW_REQUIRED,Two-substance blend; no blend identity slug.
BB20,BPC157 10mg+TB500 10mg Blend,PEPTIDES,BLENDS,BPC157 5mg+TB500 5mg Blend,bpc-tb500-blend,,20mg/vial x 10vials,ja,nein,REVIEW_REQUIRED,Two-substance blend; no blend identity slug.
BB500,BPC 500mcg+TB500 500mcg Blend,ORALS,BLENDS,BPC157 5mg+TB500 5mg Blend,bpc-tb500-blend,,1000mcg x 100tablets,ja,nein,REVIEW_REQUIRED,Two-substance blend; no blend identity slug.
BBG70,(GLOW) GHK-CU 50mg+TB500 10mg+BPC157 10mg Blend,PEPTIDES,BLENDS,(GLOW) GHK-CU 50mg+TB500 10mg+BPC157 10mg Blend,glow-blend,glow-blend,70mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
BC10,BPC 157,PEPTIDES,PEPTIDES,BPC157,bpc-157,bpc-157,10mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
BC2,BPC 157,PEPTIDES,PEPTIDES,BPC157,bpc-157,bpc-157,2mg/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
BC20,BPC 157,PEPTIDES,PEPTIDES,BPC157,bpc-157,bpc-157,20mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
BC5,BPC 157,PEPTIDES,PEPTIDES,BPC157,bpc-157,bpc-157,5mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
BC500,BPC,ORALS,PEPTIDES,BPC157,bpc-157,bpc-157,500mcg x 60pcs,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
BM5,Metribolone,INJECTABLES-OILS,ORALS,Metribolone,metribolone,,5mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
BR20,Bronchogen,PEPTIDES,PEPTIDES,Bronchogen,bronchogen,,20mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
BR50,Tren BASE,INJECTABLES-OILS,OILS / INJECTABLES,Tren BASE,tren-base,,50mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
BS250,BC (Boldenone Cyp),INJECTABLES-OILS,OILS / INJECTABLES,BC (Boldenone Cyp),boldenone-cypionate,,250mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
BT10,TB-500 (Thymosin B4 Acetate),PEPTIDES,PEPTIDES,TB-500 (Thymosin B4 Acetate),tb-500-tb4-mix,,10mg/vial x 10vials,ja,nein,REVIEW_REQUIRED,Shop label mixes TB-500 and Thymosin Beta-4; identities stay separate.
BT20,TB-500 (Thymosin B4 Acetate),PEPTIDES,PEPTIDES,TB-500 (Thymosin B4 Acetate),tb-500-tb4-mix,,20mg/vial x 10vials,ja,nein,REVIEW_REQUIRED,Shop label mixes TB-500 and Thymosin Beta-4; identities stay separate.
BT5,TB-500 (Thymosin B4 Acetate),PEPTIDES,PEPTIDES,TB-500 (Thymosin B4 Acetate),tb-500-tb4-mix,,5mg/vial x 10vials,ja,nein,REVIEW_REQUIRED,Shop label mixes TB-500 and Thymosin Beta-4; identities stay separate.
C250,TEST CYPIONATE,INJECTABLES-OILS,OILS / INJECTABLES,TEST CYPIONATE,testosterone-cypionate,,250mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
CA20,Cardiogen,PEPTIDES,PEPTIDES,Cardiogen,cardiogen,,20mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
CB40,CLENBUTEROL,ORALS,ORALS,CLENBUTEROL,clenbuterol,,40mcg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
CBL60,Cerebrolysin,PEPTIDES,SONSTIGE,Cerebrolysin,cerebrolysin,,60mg/vial x 6 vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
CD10,CJC-1295 With DAC,PEPTIDES,PEPTIDES,CJC-1295 With DAC,cjc-1295,cjc-1295,10mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
CD2,CJC-1295 With DAC,PEPTIDES,PEPTIDES,CJC-1295 With DAC,cjc-1295,cjc-1295,2mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
CD5,CJC-1295 With DAC,PEPTIDES,PEPTIDES,CJC-1295 With DAC,cjc-1295,cjc-1295,5mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
CD50,Clomiphene,ORALS,ORALS,Clomiphene,clomiphene,,50mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
CG25,Cabergoline,ORALS,ORALS,Cabergoline,cabergoline,,0.25mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
CGL10,Cagrilintide,PEPTIDES,PEPTIDES,Cagrilintide,cagrilintide,cagrilintide,10mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
CGL20,Cagrilintide,PEPTIDES,PEPTIDES,Cagrilintide,cagrilintide,cagrilintide,20mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
CGL5,Cagrilintide,PEPTIDES,PEPTIDES,Cagrilintide,cagrilintide,cagrilintide,5mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
CND10,CJC-1295 Without DAC,PEPTIDES,PEPTIDES,CJC-1295 With DAC,cjc-1295,cjc-1295,10mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
CND2,CJC-1295 Without DAC,PEPTIDES,PEPTIDES,CJC-1295 With DAC,cjc-1295,cjc-1295,2mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
CND5,CJC-1295 Without DAC,PEPTIDES,PEPTIDES,CJC-1295 With DAC,cjc-1295,cjc-1295,5mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
COR20,Cortagen,PEPTIDES,PEPTIDES,Cortagen,cortagen,,20mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
CP10,CJC-1295 without DAC 5mg + IPA 5mg Blend,PEPTIDES,BLENDS,CJC-1295 without DAC 5mg + IPA 5mg Blend,cjc-ipamorelin-blend,,10mg/vial x 10vials,ja,nein,REVIEW_REQUIRED,Two-substance blend.
CP20,CJC-1295 without DAC 10mg + IPA 10mg,PEPTIDES,BLENDS,CJC-1295 without DAC 5mg + IPA 5mg Blend,cjc-ipamorelin-blend,,20mg/vial x 10vials,ja,nein,REVIEW_REQUIRED,Two-substance blend.
CRY20,Crystagen,PEPTIDES,PEPTIDES,Crystagen,crystagen,,20mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
CS10,Cagrilintide 5mg+Semaglutide 5mg Blend,PEPTIDES,BLENDS,Cagrilintide 5mg+Semaglutide 5mg Blend,cagrilintide-semaglutide-blend,,10mg/vial x 10vials,ja,nein,REVIEW_REQUIRED,Two-substance blend; do not pick one INN.
CT10,Turinabol,ORALS,ORALS,Turinabol,turinabol,,10mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
CT25,Turinabol,ORALS,ORALS,Turinabol,turinabol,,25mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
CT50,Turinabol,ORALS,ORALS,Turinabol,turinabol,,50mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
CU100,GHK-CU,PEPTIDES,PEPTIDES,GHK-CU,ghk-cu,ghk-cu,100mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
CU50,GHK-CU,PEPTIDES,PEPTIDES,GHK-CU,ghk-cu,ghk-cu,50mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
D10,DIANABOL,ORALS,ORALS,DIANABOL,dianabol,,10mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
D100,Mast P (DP),INJECTABLES-OILS,OILS / INJECTABLES,Mast P (DP),drostanolone-propionate,,100mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
D20,DIANABOL,ORALS,ORALS,DIANABOL,dianabol,,20mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
D200,Mast E (DE),INJECTABLES-OILS,OILS / INJECTABLES,Mast E (DE),drostanolone-enanthate,,200mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
D50,DIANABOL,ORALS,ORALS,DIANABOL,dianabol,,50mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
DAP30,dapoxetine,ORALS,ORALS,dapoxetine,dapoxetine,,30mg x 100pcs,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
DEX1,ARIMIDEX,ORALS,ORALS,ARIMIDEX,anastrozole,,1mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
DHA20,Dihexa,ORALS,PEPTIDES,Dihexa,dihexa,,20mg x 25pcs,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
DM200,MAST Blend 200mg,INJECTABLES-OILS,BLENDS,MAST Blend 200mg,mast-blend,,200mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
DO50,DIANABOL (Methandranstenolone),INJECTABLES-OILS,ORALS,DIANABOL,dianabol,,50mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
DR5,Dermorphin,PEPTIDES,PEPTIDES,Dermorphin,dermorphin,,5mg/vial x 10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
DS10,DSIP,PEPTIDES,PEPTIDES,DSIP,dsip,,10mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
DS15,DSIP,PEPTIDES,PEPTIDES,DSIP,dsip,,15mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
DS2,DSIP,PEPTIDES,PEPTIDES,DSIP,dsip,,2mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
DS5,DSIP,PEPTIDES,PEPTIDES,DSIP,dsip,,5mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
DT20,Tadalafil (Cialis),ORALS,ORALS,Tadalafil (Cialis),tadalafil,,20mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
DUT1,Dutasteride,ORALS,ORALS,Dutasteride,dutasteride,,1mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
E3K,EPO,PEPTIDES,SONSTIGE,EPO,epo,,3000UI/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
EC100,Estradiol Cypionate,INJECTABLES-OILS,OILS / INJECTABLES,Estradiol Cypionate,estradiol-cypionate,,10mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
EC25,Androxal (Enclomiphene),ORALS,ORALS,Androxal (Enclomiphene),enclomiphene,,25mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
ET10,Epithalon,PEPTIDES,PEPTIDES,Epithalon,epithalon,,10mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
ET40,Epithalon,PEPTIDES,PEPTIDES,Epithalon,epithalon,,40mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
ET50,Epithalon,PEPTIDES,PEPTIDES,Epithalon,epithalon,,50mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
EX25,Aromasin (Exemestane),ORALS,ORALS,Aromasin (Exemestane),exemestane,,25mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
F410,FOXO4,PEPTIDES,PEPTIDES,FOXO4,foxo4,,10mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
FM2,MGF,PEPTIDES,PEPTIDES,MGF,mgf,,2mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
FMP2,PEG MGF,PEPTIDES,PEPTIDES,PEG MGF,peg-mgf,,2mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
FNA1,Finasteride,ORALS,ORALS,Finasteride,finasteride,,1mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
FR10,HGH Fragment 176-191,PEPTIDES,PEPTIDES,HGH Fragment 176-191,hgh-fragment-176-191,,10mg/vial x 10 vials,ja,nein,REVIEW_REQUIRED,Fragment is not somatropin.
FR2,HGH Fragment 176-191,PEPTIDES,PEPTIDES,HGH Fragment 176-191,hgh-fragment-176-191,,2mg/vial x 10 vials,ja,nein,REVIEW_REQUIRED,Fragment is not somatropin.
FR5,HGH Fragment 176-191,PEPTIDES,PEPTIDES,HGH Fragment 176-191,hgh-fragment-176-191,,5mg/vial x 10 vials,ja,nein,REVIEW_REQUIRED,Fragment is not somatropin.
FS5,Finasteride,ORALS,ORALS,Finasteride,finasteride,,5mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
FX10,Fluoxymesterone (Halotestin),ORALS,ORALS,Fluoxymesterone (Halotestin),fluoxymesterone,,10mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
G10K,HCG,PEPTIDES,PEPTIDES,HCG,hcg,hcg,10000IU/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
G210,GHRP-2 Acetate,PEPTIDES,PEPTIDES,GHRP-2 Acetate,ghrp-2,,10mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
G25,GHRP-2 Acetate,PEPTIDES,PEPTIDES,GHRP-2 Acetate,ghrp-2,,5mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
G2K,HCG,PEPTIDES,PEPTIDES,HCG,hcg,hcg,2000IU/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
G50,GW-501516 (Cardarine),ORALS,ORALS,GW-501516 (Cardarine),cardarine,,10mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
G5K,HCG,PEPTIDES,PEPTIDES,HCG,hcg,hcg,5000IU/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
G610,GHRP-6 Acetate,PEPTIDES,PEPTIDES,GHRP-6 Acetate,ghrp-6,,10mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
G65,GHRP-6 Acetate,PEPTIDES,PEPTIDES,GHRP-6 Acetate,ghrp-6,,5mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
G75,HMG,PEPTIDES,PEPTIDES,HMG,hmg,,75IU/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
GGH,GGH,ORALS,SONSTIGE,GGH,ggh,,blend,nein,nein,UNKNOWN,Shopbezeichnung ohne identifizierbaren Wirkstoff.
GND2,Gonadorelin,PEPTIDES,PEPTIDES,Gonadorelin,gonadorelin,gonadorelin,2mg/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
GTT,Glutathione,PEPTIDES,SONSTIGE,Glutathione,glutathione,,1500mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
H06,HGH,PEPTIDES,PEPTIDES,HGH,somatropin,somatropin,6iu/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
H10,HGH,PEPTIDES,PEPTIDES,HGH,somatropin,somatropin,10iu/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
H100,Tren Hex,INJECTABLES-OILS,OILS / INJECTABLES,Tren Hex,trenbolone-hexahydrobenzylcarbonate,,100mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
H12,HGH,PEPTIDES,PEPTIDES,HGH,somatropin,somatropin,12iu/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
H15,HGH,PEPTIDES,PEPTIDES,HGH,somatropin,somatropin,15iu/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
H24,HGH,PEPTIDES,PEPTIDES,HGH,somatropin,somatropin,24iu/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
H36,HGH,PEPTIDES,PEPTIDES,HGH,somatropin,somatropin,36iu/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
H50,HGH,PEPTIDES,PEPTIDES,HGH,somatropin,somatropin,50iu/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
HA5,Hyaluronic acid,PEPTIDES,SONSTIGE,Hyaluronic acid,hyaluronic-acid,,5mg/vial x1vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
HD50,DHT (Stanolone),INJECTABLES-OILS,OILS / INJECTABLES,DHT (Stanolone),dht-stanolone,,50mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
HHB,HHB,ORALS,SONSTIGE,HHB,hhb,,blend,nein,nein,UNKNOWN,Shopbezeichnung ohne identifizierbaren Wirkstoff.
HU10,Humanin,PEPTIDES,PEPTIDES,Humanin,humanin,,10mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
HX2,Hexarelin,PEPTIDES,PEPTIDES,Hexarelin,hexarelin,,2mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
HX5,Hexarelin,PEPTIDES,PEPTIDES,Hexarelin,hexarelin,,5mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
